receiver,tokenId,additionalSupply
0x1f91EB653116A43413930c1df0CF5794fCc2D611,0,1
0xA707E9650631800a635c629e9C8E5937b7277a08,0,1
0xF1f466c973C197e5D9318F6241C2da31742d3d03,0,1
0x56671F2cb5d401f989Df5d3B4f8C814E6A022bf7,0,1
0x5F0633eD9c359C84F9A7B4A898DA6864893fe943,0,1
0x626522375a0F448fc7B87055f83a0402b89D06Eb,0,1
0x4D9c3Ae6ce7751616cB29E2bcF972357f28924E0,0,1
0xc4757A402F4c5a447B2b20670ADd10A042f1142D,0,1
0x9244B15679F4d4e1CEE0Ef6401A59b3d302c8Fca,0,1
0xF7DB7C0205f5Bf2E32F55A633703da1d075036A7,0,1
0x8BC230Cf6b8A5Eab2d144446ED8347C3fE9479F1,0,1
0xa6Ce701Cc62a6dE45fb29838f727005B76805cac,0,1
0x0f5243E147a42073ed8f0107bAcbCF89F1e82BA4,0,1
0x077642929a08D44275EC66E61B07DB970Dc81Dd3,0,1
0x2c9CFE7DaFc631Dd743d6eA9438A9038e346980c,0,1
0x92747a2294d519E442B53B53F78117964e2A2c6F,0,1
0xAd500C5d4E4e16195291EB788c1E60fb4266f808,0,1
0x0F2F19C2ab793152F975A3d81D14D05ABAFeF736,0,1
0x76c879F24bd487d8cC247E9546c373122fdB4bD1,0,1
0x95c54bA2B8AbB85BBab1b4baD18357559046208D,0,1
0x38CB8bA3429D404Ca564A84248c0Be2C2E62EEE9,0,1
0xaCa99722AD1844b447F2426f6b1Cd8699C9277bb,0,1
0xC75B1D27a674f5B547617298fdc53Af28CE39F7D,0,1
0xf98609D421dFcE46563B18D788c5D42Fe178e470,0,1
0xD94706e83086bC4df769AcF484AA29A7B97B6133,0,1
0xe121a58fd370ecb56024422001E1fb0f64cBEE07,0,1
0x6CD8243E9128Fefc08251DB4fe4f68Eb81DcE74d,0,1
0x6DfAF3b808a94c800C3F2DB84383B9AaCE0bdF6E,0,1
0x9Ecdd69d4eb82E2Eb0607981F38057434aBecBA3,0,1
0x3D39d71d78A685b27BE2bE5Fb13dD09545f53b3E,0,1
0x53eb6d6c39f585f2BD9062B14e00A49b0054d7d5,0,1
0xd8Ae4a70f78314e641BAAa22320D08379d6484Aa,0,1
0xfdF8818FC8cDf7723d965e9668BD699fbC86B710,0,1
0x6F77e38D6B9733Fdcad006Ce56f3dFdBA926E895,0,1
0x3032e363B3B887c84b7b319095343Df74e55E4EB,0,1
0x3CC1AB29F23B048cE74c2c5F27AA14aa64F5C27a,0,1
0x4cBCC3D61574B320B8Cf48E430Fc70C9775706c2,0,1
0x22Cc1D83e40161A12b97Bb1554a99Daa1dfF593d,0,1
0x97F30971Bc5dEDD6647Bb08d42C01178fdbb7bFa,0,1
0xcA27b327b609B06Ef5D1d691f81B9b645B4017D3,0,1
0xa9D39254f75bDc95fd934de4Dc6DaBE587f97cf0,0,1
0xf879D96747d0B23821ceE0ccBA0cEc6f0B4b84cF,0,1
0xe75E2d15A41c42Bf8e59b144029d5A66eE4127B8,0,1
0x6d6F66532b9CE6DdA4601beB50DF819EA197b151,0,1
0x1a4D13e60214629148F858D77563D6DCFA174c59,0,1
0xd13857fa57baaC6625063c1d0C079550dfC79817,0,1
0x288b64E99e1939dBFC0D1BD8393aAdB732B529F4,0,1
0xE8d5AfffB9AA4279E49f30c001B08B44ED786A74,0,1
0xcBec2b1b4799E5418fB40B8582dF6b62F4Cc4e2E,0,1
0xE996a0BD87Aa977634D89a3156F25bB49986fA18,0,1
0xd66c26C99c03583CFc6BdA8C96Ec6cc0c897b172,0,1
0x845cE1b3De01491590403e118710cf50e3fEdC5a,0,1
0xA096560B0d2Eaf7F791225a92F0bcDd70e6d701d,0,1
0x21ADFAEa607F1465b9230bC699e052252A3be7C5,0,1
0xB7f325F6A4861706969B973042c1E3FC9870a779,0,1
0x6F1807f7676feFeABd8a86A262bEC10f33AcFff3,0,1
0xc78068281dcF9dF9f050d720FBF2f9f3234dd0D7,0,1
0x248663dbd97EDCa610Dc2d0D766de6F697f40222,0,1
0xD526feCaBA1F2cdfB8f4c8c859f3c7BECEDC5843,0,1
0xF35cc7CDB1b25e3C6cE12A0fE34d7Cbe9B6aA062,0,1
0x42bFa9BA6d2bf15878a66A8965332c29A735E091,0,1
0x893292E899904EAC41dB2B3423b76F545409BADf,0,1
0xef42a0C525F8aAdA81b376DeF25D5b8b1B6bB75f,0,1
0x856cd14e304B98a531C8BEF2E92838f1Ee262713,0,1
0x3C1a3537180Cb62C1f1A23dfbb901Ec63A12e920,0,1
0x32a19EB304e58c2453bB44181CD4A852DA5CBbE2,0,1
0x4384961eaa2D43aAB13BEA3903Da12B9f748Df7c,0,1
0xE8d91E0539575543B057C0BA107A4fA0Dc709496,0,1
0x8F448fad5a139CCC69011E16A57152f277264b66,0,1
0x04fFF3c2e8748A3D0875375Fb63ae78dFdC0D355,0,1
0x8C0D9B090A4eC7116f9228c6E851489a940A2788,0,1
0x433ebb3d437FbC1f864A29cBD63D8AF9434732F0,0,1
0xda7587bcDC16EcB9c510442269e9CBb813c25BCC,0,1
0x91e60E0390378E8536897c77ffe48aD2C6d0732f,0,1
0xd64873DCC0F7E6375DFaf0d067A0012158B6D1D1,0,1
0xC0a9BA190E65eA4DA6cD333B1cFe7F808510167d,0,1
0x4EF879ae60926e07CB212Eb53F226c0980C0dd47,0,1
0xd2bAF5D16Ea64cA0222C9ED8644ef51005C9803e,0,1
0xC388e994471f5fA8d8B71450F528b0cfdfddAe92,0,1
